peptide_id,bucket,category,reason
81,b3_excluded_residue_no_smiles,residue_based,position 1 ('7-NH2-C7'): unknown residue code '7-NH2-C7': no match in p2smi database (checked Code='7-NH2-C7')
19,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
24,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
31,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
21,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
30,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
22,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
35,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
27,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
86,b3_excluded_residue_no_smiles,residue_based,position 1 ('7-NH2-C7'): unknown residue code '7-NH2-C7': no match in p2smi database (checked Code='7-NH2-C7')
34,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
33,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
96,b3_excluded_residue_no_smiles,residue_based,position 1 ('7-NH2-C7'): unknown residue code '7-NH2-C7': no match in p2smi database (checked Code='7-NH2-C7')
91,b3_excluded_residue_no_smiles,residue_based,position 1 ('7-NH2-C7'): unknown residue code '7-NH2-C7': no match in p2smi database (checked Code='7-NH2-C7')
28,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
17,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
7,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
26,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
25,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
32,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
29,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
9,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
6,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
23,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
18,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
4,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
457,b3_excluded_residue_no_smiles,residue_based,position 1 ('LYS-ACT'): unknown residue code 'LYS-ACT': no match in p2smi database (checked Code='LYS-ACT')
576,b3_excluded_residue_no_smiles,residue_based,position 1 ('P-Ser'): unknown residue code 'P-Ser': no match in p2smi database (checked Code='P-SER'); position 5 ('LYS-ACT'): unknown residue code 'LYS-ACT': no match in p2smi database (checked Code='LYS-ACT')
647,b3_excluded_residue_no_smiles,residue_based,position 13 ('P-Ser'): unknown residue code 'P-Ser': no match in p2smi database (checked Code='P-SER'); position 15 ('P-Ser'): unknown residue code 'P-Ser': no match in p2smi database (checked Code='P-SER')
1,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
804,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'SUC' (only free amine or ACT acetylation supported)
799,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'SUC' (only free amine or ACT acetylation supported)
802,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'SUC' (only free amine or ACT acetylation supported)
805,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'SUC' (only free amine or ACT acetylation supported)
906,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'TOS' (only free amine or ACT acetylation supported)
907,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'BZA' (only free amine or ACT acetylation supported)
908,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'Bn' (only free amine or ACT acetylation supported)
1081,b3_excluded_residue_no_smiles,residue_based,position 24 ('DHB'): unknown residue code 'DHB': no match in p2smi database (checked Code='DHB')
1109,b3_excluded_residue_no_smiles,residue_based,position 2 ('DHB'): unknown residue code 'DHB': no match in p2smi database (checked Code='DHB'); position 5 ('DHA'): unknown residue code 'DHA': no match in p2smi database (checked Code='DHA')
