peptide_id,organism,mic_value_uM,mic_type,active_threshold_uM,inactive_threshold_uM,threshold_match_level,label,label_reason
8,Staphylococcus aureus,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
8,Bacillus subtilis,100.0,censored,,,none,unlabeled,no_threshold_available
8,Pseudomonas aeruginosa,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
8,Acinetobacter baumannii,100.0,censored,,,none,unlabeled,no_threshold_available
8,Escherichia coli,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
10,Staphylococcus aureus,15.6,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
10,Streptococcus sanguinis,4.81,censored,,,none,unlabeled,no_threshold_available
11,Salmonella enterica,1.5,averaged,,,none,unlabeled,no_threshold_available
11,Listeria monocytogenes,1.46,averaged,,,none,unlabeled,no_threshold_available
11,Escherichia coli,2.24,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
11,Klebsiella pneumoniae,0.78,averaged,,,none,unlabeled,no_threshold_available
11,Pseudomonas aeruginosa,5.06,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
11,Staphylococcus aureus,1.11,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
11,Neisseria gonorrhoeae,2.29,censored,,,none,unlabeled,no_threshold_available
11,Proteus vulgaris,2.98,censored,,,none,unlabeled,no_threshold_available
11,Serratia sp.,3.31,censored,,,none,unlabeled,no_threshold_available
11,Shigella sonnei,0.993,exact,,,none,unlabeled,no_threshold_available
11,Enterococcus faecalis,0.509,exact,,,none,unlabeled,no_threshold_available
11,Micrococcus luteus,0.509,exact,,,none,unlabeled,no_threshold_available
11,Staphylococcus epidermidis,4.0,averaged,,,none,unlabeled,no_threshold_available
11,Staphylococcus saprophyticus,0.669,censored,,,none,unlabeled,no_threshold_available
11,Streptococcus agalactiae,2.65,censored,,,none,unlabeled,no_threshold_available
11,Salmonella typhimurium,2.0,averaged,,,none,unlabeled,no_threshold_available
11,Bacillus subtilis,2.0,averaged,,,none,unlabeled,no_threshold_available
